epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,35.4597,1.03879,4.28826,0.34657,0.74843,1.24821,0.63055,0.35714,0.47307,0.25562,0.62562,0.14286,0.11291,0.03022,1.86131,8.55455,0.59441,2.27311,1.94987,0.000468992,0.000468992,0.000468992
66,36.0248,0.67623,2.37482,0.42026,0.57738,1.03717,0.68998,0.5,0.5085,0.25359,0.62106,0.14286,0.13428,0.03474,1.75359,8.28185,0.57335,2.08684,1.94938,0.00046345,0.00046345,0.00046345
67,36.5201,0.73518,1.85172,0.28608,0.52489,1.00242,0.68998,0.5,0.5085,0.25359,0.62106,0.14286,0.13428,0.03474,1.75359,8.28185,0.57335,2.08684,1.94938,0.000457512,0.000457512,0.000457512
68,36.9831,1.03026,2.49339,0.21803,0.7529,1.33772,0.68998,0.5,0.5085,0.25359,0.62106,0.14286,0.13428,0.03474,1.75359,8.28185,0.57335,2.08684,1.94938,0.000451178,0.000451178,0.000451178
69,37.4845,0.90115,2.40404,0.33284,0.57498,1.00544,0.76952,0.35714,0.49004,0.24677,0.63962,0.14286,0.14538,0.03586,1.71331,8.21748,0.56711,2.08602,1.93254,0.000444448,0.000444448,0.000444448
70,37.9502,0.77202,2.81446,0.36945,0.57704,1.02357,0.76952,0.35714,0.49004,0.24677,0.63962,0.14286,0.14538,0.03586,1.71331,8.21748,0.56711,2.08602,1.93254,0.000437322,0.000437322,0.000437322
71,38.4178,0.79755,3.04027,0.24687,0.60804,1.03142,0.76952,0.35714,0.49004,0.24677,0.63962,0.14286,0.14538,0.03586,1.71331,8.21748,0.56711,2.08602,1.93254,0.0004298,0.0004298,0.0004298
72,38.9547,0.70712,2.17172,0.31374,0.54923,0.97079,0.54557,0.51541,0.54174,0.27061,0.65871,0.14286,0.1726,0.03911,1.76605,7.90562,0.57546,2.07631,1.89812,0.000421882,0.000421882,0.000421882
73,39.413,0.73421,2.04947,0.28919,0.53178,0.97692,0.54557,0.51541,0.54174,0.27061,0.65871,0.14286,0.1726,0.03911,1.76605,7.90562,0.57546,2.07631,1.89812,0.000413568,0.000413568,0.000413568
74,39.8843,0.85549,2.88282,0.31733,0.59882,1.09308,0.54557,0.51541,0.54174,0.27061,0.65871,0.14286,0.1726,0.03911,1.76605,7.90562,0.57546,2.07631,1.89812,0.000404858,0.000404858,0.000404858
75,40.4134,0.78242,1.70229,0.22888,0.61216,1.10852,0.63442,0.5,0.56537,0.30063,0.79905,0.14286,0.18314,0.03711,1.7976,7.85618,0.59406,2.10765,1.88773,0.000395752,0.000395752,0.000395752
76,40.8695,0.80293,3.11873,0.29215,0.59566,1.17814,0.63442,0.5,0.56537,0.30063,0.79905,0.14286,0.18314,0.03711,1.7976,7.85618,0.59406,2.10765,1.88773,0.00038625,0.00038625,0.00038625
77,41.4003,0.6209,1.76011,0.29775,0.53874,0.85362,0.63442,0.5,0.56537,0.30063,0.79905,0.14286,0.18314,0.03711,1.7976,7.85618,0.59406,2.10765,1.88773,0.000376352,0.000376352,0.000376352
78,41.9271,0.71035,1.83595,0.28409,0.59609,0.98263,0.84709,0.57143,0.63451,0.34541,0.29664,0.21429,0.10993,0.02954,1.8215,7.75761,0.59965,2.08581,1.91932,0.000366058,0.000366058,0.000366058
79,42.4094,0.94819,3.17297,0.29818,0.75202,1.16028,0.84709,0.57143,0.63451,0.34541,0.29664,0.21429,0.10993,0.02954,1.8215,7.75761,0.59965,2.08581,1.91932,0.000355368,0.000355368,0.000355368
80,42.8778,0.65999,2.4495,0.28578,0.50596,0.99916,0.84709,0.57143,0.63451,0.34541,0.29664,0.21429,0.10993,0.02954,1.8215,7.75761,0.59965,2.08581,1.91932,0.000344282,0.000344282,0.000344282
81,43.386,0.6343,1.88282,0.24991,0.47846,0.91931,0.86153,0.57143,0.61056,0.33216,0.32128,0.21429,0.11378,0.03298,1.87375,7.64278,0.6,2.15849,1.97729,0.0003328,0.0003328,0.0003328
82,43.9017,0.83829,1.93906,0.28041,0.67482,1.10982,0.86153,0.57143,0.61056,0.33216,0.32128,0.21429,0.11378,0.03298,1.87375,7.64278,0.6,2.15849,1.97729,0.000320922,0.000320922,0.000320922
83,44.3858,0.66924,2.72403,0.32337,0.53347,0.95283,0.86153,0.57143,0.61056,0.33216,0.32128,0.21429,0.11378,0.03298,1.87375,7.64278,0.6,2.15849,1.97729,0.000308648,0.000308648,0.000308648
84,44.8984,0.75774,2.97668,0.30104,0.59211,0.9866,0.85639,0.57143,0.61811,0.33486,0.35197,0.21429,0.13559,0.04005,1.91411,7.55602,0.59832,2.11446,2.00873,0.000295978,0.000295978,0.000295978
85,45.3661,0.64379,2.19071,0.28486,0.47774,0.97199,0.85639,0.57143,0.61811,0.33486,0.35197,0.21429,0.13559,0.04005,1.91411,7.55602,0.59832,2.11446,2.00873,0.000282912,0.000282912,0.000282912
86,45.8401,0.88966,2.62426,0.30746,0.70239,1.07048,0.85639,0.57143,0.61811,0.33486,0.35197,0.21429,0.13559,0.04005,1.91411,7.55602,0.59832,2.11446,2.00873,0.00026945,0.00026945,0.00026945
87,46.3096,0.70514,2.17179,0.26946,0.49777,0.92876,0.85639,0.57143,0.61811,0.33486,0.35197,0.21429,0.13559,0.04005,1.91411,7.55602,0.59832,2.11446,2.00873,0.000255592,0.000255592,0.000255592
88,46.9112,0.54033,1.62398,0.28071,0.4134,1.02843,0.7707,0.57143,0.63293,0.33179,0.45495,0.14286,0.10077,0.03044,1.97923,7.50847,0.5963,2.18457,2.00858,0.000241338,0.000241338,0.000241338
89,47.3903,0.95455,4.97057,0.2985,0.78976,1.15869,0.7707,0.57143,0.63293,0.33179,0.45495,0.14286,0.10077,0.03044,1.97923,7.50847,0.5963,2.18457,2.00858,0.000226688,0.000226688,0.000226688
90,47.8514,0.84123,3.48446,0.3233,0.73652,1.00372,0.7707,0.57143,0.63293,0.33179,0.45495,0.14286,0.10077,0.03044,1.97923,7.50847,0.5963,2.18457,2.00858,0.000211642,0.000211642,0.000211642
91,48.3263,0.55428,1.41856,0.23211,0.40491,0.81389,0.7707,0.57143,0.63293,0.33179,0.45495,0.14286,0.10077,0.03044,1.97923,7.50847,0.5963,2.18457,2.00858,0.0001962,0.0001962,0.0001962
92,48.8906,0.84448,2.64667,0.27328,0.86699,0.94932,0.70182,0.57143,0.62432,0.34127,0.37461,0.14286,0.08412,0.02623,1.90387,7.39683,0.60674,1.94513,1.95021,0.000180362,0.000180362,0.000180362
93,49.3768,0.53778,1.33697,0.22817,0.44984,0.90236,0.70182,0.57143,0.62432,0.34127,0.37461,0.14286,0.08412,0.02623,1.90387,7.39683,0.60674,1.94513,1.95021,0.000164128,0.000164128,0.000164128
94,49.8496,0.43023,1.26964,0.22164,0.39682,0.83967,0.70182,0.57143,0.62432,0.34127,0.37461,0.14286,0.08412,0.02623,1.90387,7.39683,0.60674,1.94513,1.95021,0.000147498,0.000147498,0.000147498
95,50.3185,0.56656,1.39068,0.22759,0.43142,0.9202,0.70182,0.57143,0.62432,0.34127,0.37461,0.14286,0.08412,0.02623,1.90387,7.39683,0.60674,1.94513,1.95021,0.000130472,0.000130472,0.000130472
96,50.8217,0.52539,1.4627,0.25059,0.5269,0.82719,0.64859,0.57143,0.62465,0.34259,0.21589,0.14286,0.08144,0.02697,1.89475,7.31442,0.60571,1.82909,1.91858,0.00011305,0.00011305,0.00011305
97,51.2976,0.78171,1.71993,0.27245,0.49931,1.0115,0.64859,0.57143,0.62465,0.34259,0.21589,0.14286,0.08144,0.02697,1.89475,7.31442,0.60571,1.82909,1.91858,9.5232e-05,9.5232e-05,9.5232e-05
98,51.7616,0.50756,1.2471,0.22773,0.42655,0.92452,0.64859,0.57143,0.62465,0.34259,0.21589,0.14286,0.08144,0.02697,1.89475,7.31442,0.60571,1.82909,1.91858,7.7018e-05,7.7018e-05,7.7018e-05
99,52.2331,0.44603,1.23784,0.24571,0.50109,0.79718,0.64859,0.57143,0.62465,0.34259,0.21589,0.14286,0.08144,0.02697,1.89475,7.31442,0.60571,1.82909,1.91858,5.8408e-05,5.8408e-05,5.8408e-05
100,52.7539,0.39862,1.09399,0.23356,0.47381,0.92407,0.67982,0.57143,0.63455,0.36748,0.29068,0.14286,0.08371,0.02699,1.86395,7.33614,0.61185,1.74971,1.87496,3.9402e-05,3.9402e-05,3.9402e-05
