epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,12517.6,0.67399,3.25,0.26569,0.42548,1.09828,0.96759,0.97889,0.9907,0.90006,0.86228,0.82432,0.8437,0.69817,0.54058,1.90865,0.05241,0.27472,0.97227,0.006238,0.006238,0.006238
40,12835.6,0.67438,3.24113,0.26317,0.42588,1.0967,0.96825,0.97964,0.99085,0.9008,0.87193,0.82864,0.85379,0.70532,0.53947,1.89005,0.0519,0.27303,0.97156,0.006139,0.006139,0.006139
41,13152.5,0.66715,3.15262,0.26173,0.41923,1.09231,0.96971,0.97964,0.99076,0.90132,0.86833,0.82941,0.85313,0.7057,0.53886,1.88167,0.0507,0.27163,0.9711,0.00604,0.00604,0.00604
42,13469.4,0.66722,3.07959,0.26068,0.41777,1.09429,0.97052,0.9781,0.99086,0.90166,0.86627,0.82882,0.85189,0.70759,0.53816,1.88796,0.05022,0.27044,0.9707,0.005941,0.005941,0.005941
43,13786.1,0.66217,3.06284,0.2589,0.4163,1.09343,0.96974,0.97887,0.99095,0.90244,0.87061,0.82903,0.85417,0.71029,0.53835,1.88216,0.04991,0.26837,0.97052,0.005842,0.005842,0.005842
44,14102.8,0.66195,3.0738,0.25748,0.41385,1.09247,0.97122,0.9781,0.99094,0.90252,0.86822,0.82944,0.85299,0.71153,0.5385,1.87392,0.04939,0.26761,0.97078,0.005743,0.005743,0.005743
45,14418.9,0.663,3.04464,0.25611,0.41318,1.09234,0.9714,0.97888,0.99103,0.90271,0.86376,0.83718,0.85509,0.71324,0.53783,1.86537,0.04883,0.26625,0.97008,0.005644,0.005644,0.005644
46,14736.3,0.6626,3.02561,0.25539,0.41316,1.09348,0.9713,0.97965,0.99113,0.90305,0.86864,0.83252,0.85557,0.71399,0.53555,1.86319,0.04839,0.26522,0.96882,0.005545,0.005545,0.005545
47,15053.9,0.65486,2.99492,0.25309,0.40612,1.08882,0.97179,0.97925,0.99123,0.90359,0.86599,0.83619,0.85632,0.71561,0.53442,1.86111,0.04808,0.26427,0.96813,0.005446,0.005446,0.005446
48,15371,0.6528,2.94835,0.25203,0.40699,1.0874,0.97166,0.97938,0.9913,0.90427,0.86474,0.83632,0.85485,0.7161,0.53371,1.85785,0.04774,0.26321,0.96713,0.005347,0.005347,0.005347
