epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,31.8512,0.86395,3.09916,0.3811,0.59243,1.06171,0.43014,0.28571,0.37102,0.23226,0.2352,0.07143,0.04651,0.00913,1.76554,8.58373,0.69289,2.91854,1.95162,0.000503818,0.000503818,0.000503818
55,32.3521,0.89199,3.12344,0.32177,0.65504,1.01221,0.43014,0.28571,0.37102,0.23226,0.2352,0.07143,0.04651,0.00913,1.76554,8.58373,0.69289,2.91854,1.95162,0.000502632,0.000502632,0.000502632
56,32.8506,1.00509,2.31446,0.33562,0.83228,1.16231,0.43014,0.28571,0.37102,0.23226,0.2352,0.07143,0.04651,0.00913,1.76554,8.58373,0.69289,2.91854,1.95162,0.00050105,0.00050105,0.00050105
57,33.3812,1.47454,3.80073,0.28648,1.09185,1.7664,0.5222,0.23649,0.33737,0.21623,0.15983,0.07143,0.01928,0.00964,1.82521,8.95955,0.72005,3.05635,1.92926,0.000499072,0.000499072,0.000499072
58,33.8953,0.99408,2.84259,0.32103,0.74619,1.28556,0.5222,0.23649,0.33737,0.21623,0.15983,0.07143,0.01928,0.00964,1.82521,8.95955,0.72005,3.05635,1.92926,0.000496698,0.000496698,0.000496698
59,34.3899,0.70064,2.54165,0.29934,0.65312,1.03443,0.5222,0.23649,0.33737,0.21623,0.15983,0.07143,0.01928,0.00964,1.82521,8.95955,0.72005,3.05635,1.92926,0.000493928,0.000493928,0.000493928
60,34.9198,0.99442,3.47906,0.4945,0.79068,1.26488,0.66224,0.28571,0.34766,0.19512,0.33283,0.14286,0.11087,0.01687,1.96546,8.96892,0.73149,3.17408,1.98909,0.000490762,0.000490762,0.000490762
61,35.4147,1.0465,2.86684,0.29853,0.65332,1.06441,0.66224,0.28571,0.34766,0.19512,0.33283,0.14286,0.11087,0.01687,1.96546,8.96892,0.73149,3.17408,1.98909,0.0004872,0.0004872,0.0004872
62,35.9279,0.91969,2.45583,0.36297,0.68168,1.08668,0.66224,0.28571,0.34766,0.19512,0.33283,0.14286,0.11087,0.01687,1.96546,8.96892,0.73149,3.17408,1.98909,0.000483242,0.000483242,0.000483242
63,36.4367,0.7649,2.1395,0.28589,0.55976,1.03819,0.54027,0.28571,0.3088,0.18354,0.49661,0.14286,0.13385,0.0297,2.00252,8.85675,0.70497,3.05989,2.03036,0.000478888,0.000478888,0.000478888
64,36.9488,0.85022,3.35023,0.34885,0.69126,1.0635,0.54027,0.28571,0.3088,0.18354,0.49661,0.14286,0.13385,0.0297,2.00252,8.85675,0.70497,3.05989,2.03036,0.000474138,0.000474138,0.000474138
65,37.43,1.07796,3.90025,0.29101,0.7961,1.29711,0.54027,0.28571,0.3088,0.18354,0.49661,0.14286,0.13385,0.0297,2.00252,8.85675,0.70497,3.05989,2.03036,0.000468992,0.000468992,0.000468992
66,37.9631,0.76086,2.1283,0.44496,0.56683,1.05341,0.48375,0.35714,0.31087,0.17152,0.76005,0.14286,0.15608,0.04446,2.09062,8.74706,0.63773,2.98044,2.088,0.00046345,0.00046345,0.00046345
67,38.4574,0.87496,2.0979,0.30202,0.58447,1.0482,0.48375,0.35714,0.31087,0.17152,0.76005,0.14286,0.15608,0.04446,2.09062,8.74706,0.63773,2.98044,2.088,0.000457512,0.000457512,0.000457512
68,38.9474,1.16911,2.78637,0.24574,0.79215,1.47278,0.48375,0.35714,0.31087,0.17152,0.76005,0.14286,0.15608,0.04446,2.09062,8.74706,0.63773,2.98044,2.088,0.000451178,0.000451178,0.000451178
69,39.4558,0.83872,2.721,0.31798,0.55906,0.98412,0.38389,0.28571,0.28793,0.15083,0.88298,0.07143,0.0814,0.03256,2.11142,8.84188,0.62526,3.21347,2.10554,0.000444448,0.000444448,0.000444448
70,39.9696,0.80661,2.18322,0.34133,0.61266,1.07625,0.38389,0.28571,0.28793,0.15083,0.88298,0.07143,0.0814,0.03256,2.11142,8.84188,0.62526,3.21347,2.10554,0.000437322,0.000437322,0.000437322
71,40.4647,0.85255,3.28296,0.23572,0.7896,1.09025,0.38389,0.28571,0.28793,0.15083,0.88298,0.07143,0.0814,0.03256,2.11142,8.84188,0.62526,3.21347,2.10554,0.0004298,0.0004298,0.0004298
72,41.005,0.7481,2.2622,0.32471,0.52212,0.9762,0.36147,0.28571,0.22846,0.12947,0.85964,0.07143,0.08083,0.03233,2.16085,8.79307,0.63013,3.34272,2.0872,0.000421882,0.000421882,0.000421882
73,41.4975,0.8197,1.83288,0.27846,0.55099,0.9834,0.36147,0.28571,0.22846,0.12947,0.85964,0.07143,0.08083,0.03233,2.16085,8.79307,0.63013,3.34272,2.0872,0.000413568,0.000413568,0.000413568
74,42.0111,0.85619,2.8906,0.30531,0.68939,1.08799,0.36147,0.28571,0.22846,0.12947,0.85964,0.07143,0.08083,0.03233,2.16085,8.79307,0.63013,3.34272,2.0872,0.000404858,0.000404858,0.000404858
75,42.5245,0.82,1.64074,0.25674,0.56679,1.0107,0.49928,0.285,0.23206,0.13423,0.46534,0.07143,0.08024,0.01605,2.20641,8.7178,0.60191,3.50883,2.11109,0.000395752,0.000395752,0.000395752
76,43.0199,0.86413,3.2793,0.2678,0.61957,1.18993,0.49928,0.285,0.23206,0.13423,0.46534,0.07143,0.08024,0.01605,2.20641,8.7178,0.60191,3.50883,2.11109,0.00038625,0.00038625,0.00038625
77,43.5512,0.76277,1.56578,0.3271,0.50178,0.88516,0.49928,0.285,0.23206,0.13423,0.46534,0.07143,0.08024,0.01605,2.20641,8.7178,0.60191,3.50883,2.11109,0.000376352,0.000376352,0.000376352
78,44.0862,0.82935,2.16181,0.26239,0.59984,1.02765,0.3842,0.28571,0.21328,0.15034,0.49191,0.07143,0.08696,0.02421,2.15652,8.28344,0.5746,3.36828,2.07265,0.000366058,0.000366058,0.000366058
